S.No.,Description,Sub Class,Class,Group,Division,Section
588,Manufacture of other electronic components n.e.c,26109,2610,261,"Manufacture of computer, electronic and optical products",Manufacturing
589,"Manufacture of desktop computers, laptop computers, hand-held computers (e.g. PDA), mainframe computers and computer servers",26201,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
590,"Manufacture of magnetic and optical storage devices such as magnetic disk drives, flash drives, CD, DVD and other storage devices",26202,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
591,"Manufacture of monitors, keyboards, all types of mice, joysticks, and trackball accessories, dedicated computer terminals etc.",26203,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
592,"Manufacture of printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers)",26204,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
593,"Manufacture of computer terminals, like automatic teller machines (ATMâ€™s), point-of-sale (POS) terminals not mechanically operated",26205,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
594,Manufacture of computers and peripheral equipment n.e.c.,26209,2620,262,"Manufacture of computer, electronic and optical products",Manufacturing
595,"Manufacture of radio and television studio and broadcasting equipment, including television cameras",26301,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
596,"Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX",26302,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
597,"Manufacture of data communications equipment, such as bridges, routers, and gateways",26303,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
598,"Manufacture of cable television equipment, transmitting and receiving antenna including dish, VSAT",26304,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
599,"Manufacture of pagers, cellular phones and other mobile communication equipment",26305,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
600,Manufacture of other communication equipments n.e.c.,26309,2630,263,"Manufacture of computer, electronic and optical products",Manufacturing
601,"Manufacture of televisions, television monitors and displays",26401,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
602,Manufacture video cassette recorders and duplicating equipment,26402,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
603,Manufacture of audio recording and duplicating systems,26403,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
604,Manufacture of radio receivers,26404,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
605,"Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer)",26405,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
606,Manufacture of CD and DVD players,26406,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
607,Manufacture of other electronic consumer goods n.e.c. (this includes non- television video camera),26409,2640,264,"Manufacture of computer, electronic and optical products",Manufacturing
608,Manufacture of physical properties testing and inspection equipment,26511,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
609,Manufacture of automotive emissions testing equipment,26512,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
610,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters",26513,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
611,Manufacture of meteorological instruments,26514,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
612,"Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical equipment",26515,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
613,"Manufacture of laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc.",26516,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
614,Manufacture of industrial process control equipment,26517,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
615,Manufacture of other measuring n.e.c.,26519,2651,265,"Manufacture of computer, electronic and optical products",Manufacturing
616,"Manufacture of watches and clocks, including instrument panel clocks (except time-recording equipment)",26521,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
617,"Manufacture of components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases of precious metals",26522,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
618,"Manufacture of time-recording equipments such as time-clock, parking meters etc.",26523,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
619,Manufacture of other watches and clocks n.e.c.,26529,2652,265,"Manufacture of computer, electronic and optical products",Manufacturing
620,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",26600,2660,266,"Manufacture of computer, electronic and optical products",Manufacturing
621,Manufacture of optical instruments and equipment,26700,2670,267,"Manufacture of computer, electronic and optical products",Manufacturing
622,Manufacture of magnetic and optical media,26800,2680,268,"Manufacture of computer, electronic and optical products",Manufacturing
623,"Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units)",27101,2710,271,Manufacture of electrical equipment,Manufacturing
624,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators",27102,2710,271,Manufacture of electrical equipment,Manufacturing
625,Manufacture of electric motors (except internal combustion engine starting motors),27103,2710,271,Manufacture of electrical equipment,Manufacturing
626,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.)",27104,2710,271,Manufacture of electrical equipment,Manufacturing
627,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",27201,2720,272,Manufacture of electrical equipment,Manufacturing
628,"Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)",27202,2720,272,Manufacture of electrical equipment,Manufacturing
629,Manufacture of fibre optic cables for data transmission or live transmission of images,27310,2731,273,Manufacture of electrical equipment,Manufacturing
630,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)",27320,2732,273,Manufacture of electrical equipment,Manufacturing
631,"Manufacture of switch, switch box, lamp holders, lugs etc.",27331,2733,273,Manufacture of electrical equipment,Manufacturing
632,Manufacture of other wiring devices and fittings n.e.c.,27339,2733,273,Manufacture of electrical equipment,Manufacturing
633,Manufacture of electric lighting equipment,27400,2740,274,Manufacture of electrical equipment,Manufacturing
634,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc.",27501,2750,275,Manufacture of electrical equipment,Manufacturing
635,"Manufacture of domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc",27502,2750,275,Manufacture of electrical equipment,Manufacturing
636,Manufacture of electric fans (except exhaust fans),27503,2750,275,Manufacture of electrical equipment,Manufacturing
637,"Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers",27504,2750,275,Manufacture of electrical equipment,Manufacturing
